Untitled report
"July 16, 2026 - July 22, 2026"
Campaign,Impr.,Clicks,Currency code,Cost,Conversions,Cost / conv.
Inmates (PR - IS) (Upper HHI),"6,758",808,USD,575.11,40.00,14.38
Inmates (PR - IS) (Lower HHI),"2,798",418,USD,282.21,24.00,11.76
Crim - Police,"1,221",183,USD,186.85,11.50,16.25
Pub Rec - SSN Lower,667,114,USD,176.60,16.00,11.04
Pub Rec - Pub Rec,546,73,USD,112.95,13.50,8.37
Pub Rec - SSN,469,64,USD,70.85,6.00,11.81
PS Free - Orig (PS123),329,47,USD,45.85,5.50,8.34
Dating - PS,80,12,USD,15.15,0.00,0
